ROAD_SEGMENT_ID;LINE_ID;START_LAT;START_LON;END_LAT;END_LON
14255;1319;-38.0625413216;145.363969335;-38.0625559967;145.3640111561
14256;1319;-38.0625559967;145.3640111561;-38.0625729639;145.3640515881
14257;1319;-38.0625729639;145.3640515881;-38.0626024757;145.3641091712
14258;1319;-38.0626024757;145.3641091712;-38.0626247454;145.3641452528
14259;1319;-38.0626247454;145.3641452528;-38.0626707131;145.3641917162
14260;1320;-38.1165266753;145.3289651929;-38.1166084134;145.3289573395
14261;1320;-38.1166084134;145.3289573395;-38.1167141988;145.3289471757
14262;1320;-38.1167141988;145.3289471757;-38.1172857478;145.3288308208
14263;1320;-38.1172857478;145.3288308208;-38.1179974048;145.328680513
14264;1320;-38.1179974048;145.328680513;-38.1183102894;145.3286144863
14265;1320;-38.1183102894;145.3286144863;-38.1186486933;145.3285430632
14266;1320;-38.1186486933;145.3285430632;-38.1187320166;145.3285725855
14267;1320;-38.1187320166;145.3285725855;-38.1189461507;145.3304939429
14268;1320;-38.1189461507;145.3304939429;-38.1189461536;145.3304939687
14269;1320;-38.1189461536;145.3304939687;-38.1189580156;145.3306004114
14270;1320;-38.1189580156;145.3306004114;-38.1188712576;145.3306178084
14271;1320;-38.1188712576;145.3306178084;-38.1188485842;145.3306399561
14272;1320;-38.1188485842;145.3306399561;-38.1183416731;145.330746916
14273;1320;-38.1183416731;145.330746916;-38.1182716415;145.3307616928
14274;1321;-38.14785003;145.2566085186;-38.1478680171;145.2566051242
14275;1321;-38.1478680171;145.2566051242;-38.148107015;145.2565600223
14276;1321;-38.148107015;145.2565600223;-38.1482665495;145.2565225106
14277;1321;-38.1482665495;145.2565225106;-38.1487718671;145.256427142
14278;1321;-38.1487718671;145.256427142;-38.1489313408;145.2577821251
14279;1322;-38.0266936628;145.2628916926;-38.0265546435;145.2629606823
14280;1322;-38.0265546435;145.2629606823;-38.0264921402;145.2631202343
14281;1322;-38.0264921402;145.2631202343;-38.0263728572;145.2631905334
14282;1322;-38.0263728572;145.2631905334;-38.0263656195;145.2631883791
14283;1322;-38.0263656195;145.2631883791;-38.0263283366;145.2631772801
14284;1322;-38.0263283366;145.2631772801;-38.0262859502;145.2631391598
14285;1322;-38.0262859502;145.2631391598;-38.0262456675;145.2630826989
14286;1322;-38.0262456675;145.2630826989;-38.0262314594;145.2629510346
14287;1322;-38.0262314594;145.2629510346;-38.0262423399;145.2627087988
14288;1322;-38.0262423399;145.2627087988;-38.0262862596;145.2625229872
14289;1322;-38.0262862596;145.2625229872;-38.0263437286;145.262486195
14290;1322;-38.0263437286;145.262486195;-38.0263444948;145.2624860835
14291;1322;-38.0263444948;145.2624860835;-38.0264293253;145.2624737144
14292;1322;-38.0264293253;145.2624737144;-38.026535723;145.2626148685
14293;1322;-38.026535723;145.2626148685;-38.0266936628;145.2628916926
14294;1322;-38.0266936628;145.2628916926;-38.0266936628;145.2628916926
14295;1322;-38.0266936628;145.2628916926;-38.026854959;145.2630095326
14296;1322;-38.026854959;145.2630095326;-38.0269816753;145.2630411705
14297;1322;-38.0269816753;145.2630411705;-38.0273540648;145.262962016
14298;1322;-38.0273540648;145.262962016;-38.0274438521;145.2629559169
14299;1323;-38.0786744371;145.3566170814;-38.0787465911;145.3566208325
14300;1323;-38.0787465911;145.3566208325;-38.0788425562;145.3566258214
14301;1323;-38.0788425562;145.3566258214;-38.0793921348;145.3565214269
