Location Coordinate;Feature Extent;Latitude Coordinate;Longitude Coordinate;Road Name;Installed Year;Range;Counter Type;Installed Date;Easting Coordinate;Northing Coordinate;Projection;Postcode;85th Percentile (Kmh);Volume in 12Hours;Volume in 24Hours;Commercial Vehicles (%);Peak Volume (%);GISFid
-38.0663566825, 145.291143443;"{""coordinates"": [145.291143443, -38.0663566825], ""type"": ""Point""}";-38.0663566824955;145.2911434429602;Tangerine Drive;2021;Between 40km/h and 50km/h;W;2021-03-24;350097;5785445;MGA2020 zone 55;3805;45.9;143;189;4.7;11.9;848
-38.024171545, 145.2640551866;"{""coordinates"": [145.2640551866, -38.024171545], ""type"": ""Point""}";-38.02417154497345;145.26405518659422;Oaktree Drive;2021;Between 50km/h and 60km/h;W;2021-03-17;347633;5790082;MGA2020 zone 55;3976;52.9;706;948;14.9;8.6;853
-38.0604815934, 145.2566324528;"{""coordinates"": [145.2566324528, -38.0604815934], ""type"": ""Point""}";-38.06048159335732;145.2566324527644;Glenbrook Crescent;2021;Between 40km/h and 50km/h;W;2021-03-26;347057;5786041;MGA2020 zone 55;3975;42.0;234;308;3.2;8.4;874
-38.1154795416, 145.3328619594;"{""coordinates"": [145.3328619594, -38.1154795416], ""type"": ""Point""}";-38.115479541591384;145.3328619593591;Fitzwilliam Circuit;2021;Between 40km/h and 50km/h;W;2021-03-23;353855;5780061;MGA2020 zone 55;3978;46.4;344;438;4.8;16.2;877
-37.9908230018, 145.2314070165;"{""coordinates"": [145.2314070165, -37.9908230018], ""type"": ""Point""}";-37.99082300177758;145.23140701653097;Betula Street;2022;Between 50km/h and 60km/h;W;2022-02-22;344697;5793728;MGA2020 zone 55;3177;50.0;539;712;2.98;9.09;898
-37.9784330017, 145.2443020304;"{""coordinates"": [145.2443020304, -37.9784330017], ""type"": ""Point""}";-37.97843300174221;145.24430203040546;Amalfi Drive;2022;Between 50km/h and 60km/h;W;2022-02-22;345803;5795125;MGA2020 zone 55;3802;57.3;3848;4884;6.24;10.26;902
-38.1263169812, 145.295458128;"{""coordinates"": [145.295458128, -38.1263169812], ""type"": ""Point""}";-38.1263169812349;145.2954581280164;Gemma Street;2020;Between 30km/h and 40km/h;W;2020-02-13;350598;5778798;MGA2020 zone 55;3977;38.4;112;169;3.0;10.06;952
-38.0815591955, 145.3328322289;"{""coordinates"": [145.3328322289, -38.0815591955], ""type"": ""Point""}";-38.081559195530744;145.3328322288519;Tamarind Road;2019;Between 40km/h and 50km/h;W;2019-05-21;353784;5783824;MGA2020 zone 55;3977;47.0;137;186;8.4;10.21;958
-37.9891773859, 145.2476657295;"{""coordinates"": [145.2476657295, -37.9891773859], ""type"": ""Point""}";-37.98917738594822;145.24766572952203;Sheoak Street;2018;Between 40km/h and 50km/h;W;2018-03-14;346121;5793938;MGA2020 zone 55;3177;48.8;252;341;3.32;11.14;974
-38.0676500341, 145.3480144247;"{""coordinates"": [145.3480144247, -38.0676500341], ""type"": ""Point""}";-38.067650034057124;145.34801442467221;Viewgrand Drive;2019;Between 50km/h and 60km/h;W;2019-05-16;355089;5785392;MGA2020 zone 55;3806;52.0;2410;2834;4.4;16.44;579
-38.0919758355, 145.2858516346;"{""coordinates"": [145.2858516346, -38.0919758355], ""type"": ""Point""}";-38.09197583553979;145.2858516346234;Kingdom Drive;2020;Between 40km/h and 50km/h;W;2020-02-13;349685;5782594;MGA2020 zone 55;3977;49.5;554;781;2.3;8.32;589
-38.1080080655, 145.3043488095;"{""coordinates"": [145.3043488095, -38.1080080655], ""type"": ""Point""}";-38.108008065546116;145.30434880949824;Statesman Circuit;2019;Between 40km/h and 50km/h;W;2019-05-16;351340;5780844;MGA2020 zone 55;3977;47.0;111;127;3.9;29.92;599
-38.0346894495, 145.260079105;"{""coordinates"": [145.260079105, -38.0346894495], ""type"": ""Point""}";-38.0346894494832;145.2600791049574;Fordholm Road;2019;Between 40km/h and 50km/h;W;2019-09-02;347306;5788908;MGA2020 zone 55;3976;47.2;2495;3085;2.2;12.05;624
-38.0407516556, 145.308838189;"{""coordinates"": [145.308838189, -38.0407516556], ""type"": ""Point""}";-38.04075165557852;145.30883818895393;Pentland Drive;2019;Between 40km/h and 50km/h;W;2019-09-02;351597;5788315;MGA2020 zone 55;3805;47.2;261;342;2.6;12.04;632
-37.9889251198, 145.3153092933;"{""coordinates"": [145.3153092933, -37.9889251198], ""type"": ""Point""}";-37.98892511984764;145.3153092933471;Crawley Road;2019;Between 50km/h and 60km/h;W;2019-10-22;352061;5794076;MGA2020 zone 55;3804;53.8;1446;1878;3.53;8.4;650
-38.0551982352, 145.2868287077;"{""coordinates"": [145.2868287077, -38.0551982352], ""type"": ""Point""}";-38.05519823518382;145.28682870765536;Kershaw Drive;2018;Between 30km/h and 40km/h;W;2018-05-10;349696;5786676;MGA2020 zone 55;3805;39.3;766;1031;6.5;10.28;657
-38.0307732676, 145.270207182;"{""coordinates"": [145.270207182, -38.0307732676], ""type"": ""Point""}";-38.03077326755672;145.27020718202868;Lauren Drive;2018;Between 40km/h and 50km/h;w;2018-11-13;348187;5789359;MGA2020 zone 55;3976;42.4;0;534;2.65;9.7;661
-38.0620244925, 145.2925061673;"{""coordinates"": [145.2925061673, -38.0620244925], ""type"": ""Point""}";-38.06202449249392;145.29250616734362;Ormond Road Narre Warren South;2019;Between 50km/h and 60km/h;W;2019-11-12;350208;5785928;MGA2020 zone 55;3805;53.5;8333;10894;3.76;9.37;670
-38.0633067886, 145.2450733901;"{""coordinates"": [145.2450733901, -38.0633067886], ""type"": ""Point""}";-38.063306788557654;145.24507339008557;Glasscocks Road;2018;More than 60km/h;W;2018-05-08;346049;5785708;MGA2020 zone 55;3975;67.0;7315;9599;5.6;11.6;693
-38.1012343121, 145.3108371433;"{""coordinates"": [145.3108371433, -38.1012343121], ""type"": ""Point""}";-38.10123431210049;145.31083714326058;Linsell Blvd;2019;More than 60km/h;W;2019-09-20;351895;5781606;MGA2020 zone 55;3977;62.7;11660;15338;3.27;8.6;706
-38.1054912612, 145.2546100864;"{""coordinates"": [145.2546100864, -38.1054912612], ""type"": ""Point""}";-38.10549126115354;145.2546100864105;Elandra Way;2018;Between 50km/h and 60km/h;W;2018-05-10;346973;5781043;MGA2020 zone 55;3977;52.6;670;828;3.55;18.12;740
-38.0248231372, 145.3466260844;"{""coordinates"": [145.3466260844, -38.0248231372], ""type"": ""Point""}";-38.0248231371658;145.34662608436625;Harkaway Road;2018;More than 60km/h;W;2018-08-15;354882;5790142;MGA2020 zone 55;3806;62.0;11802;14709;6.0;9.79;786
-38.0001628355, 145.3419450031;"{""coordinates"": [145.3419450031, -38.0001628355], ""type"": ""Point""}";-38.0001628355225;145.34194500313325;Harkaway Road;2018;More than 60km/h;W;2018-08-15;354423;5792871;MGA2020 zone 55;3806;69.0;6244;7756;6.4;10.6;787
-38.1703277168, 145.3734403896;"{""coordinates"": [145.3734403896, -38.1703277168], ""type"": ""Point""}";-38.170327716797956;145.37344038957596;Muddy Gates Lane;2018;More than 60km/h;W;2018-08-15;357519;5774037;MGA2020 zone 55;3980;62.0;83;98;23.4;15.31;801
-38.1020679084, 145.3023870447;"{""coordinates"": [145.3023870447, -38.1020679084], ""type"": ""Point""}";-38.10206790842532;145.30238704471154;Broad Oak Drive;2021;Between 50km/h and 60km/h;W;2021-03-25;351156;5781500;MGA2020 zone 55;3977;55.0;2943;3650;2.6;11.56;880
-37.9844350022, 145.2553200308;"{""coordinates"": [145.2553200308, -37.9844350022], ""type"": ""Point""}";-37.98443500220588;145.25532003079402;Matthew Flinders Avenue;2022;Between 50km/h and 60km/h;W;2022-02-22;346784;5794477;MGA2020 zone 55;3802;53.8;1804;2254;6.14;10.13;899
-38.193087, 145.236198;"{""coordinates"": [145.236198, -38.193087], ""type"": ""Point""}";-38.193086999996;145.23619799999688;Mount Grandview Rd;2024;Less than 30km/h;W;2024-07-23;345544;5771292;MGA2020 zone 55;3912;15.4;11;15;11.5;13.3;1510
-38.0787381328, 145.3695261634;"{""coordinates"": [145.3695261634, -38.0787381328], ""type"": ""Point""}";-38.078738132827134;145.3695261634148;Grices Road;2022;More than 60km/h;W;2022-10-21;356997;5784195;MGA2020 zone 55;3978;67.7;283;338;18.21;13.07;1019
-37.9927921429, 145.23338113;"{""coordinates"": [145.23338113, -37.9927921429], ""type"": ""Point""}";-37.99279214285312;145.23338113003985;Chestnut Road;2022;Between 40km/h and 50km/h;W;2022-10-31;344874;5793513;MGA2020 zone 55;3177;42.2;499;662;17.63;12.28;1026
-38.0665963305, 145.3157092233;"{""coordinates"": [145.3157092233, -38.0665963305], ""type"": ""Point""}";-38.06659633052018;145.3157092233406;Robinswood Parade;2019;Between 50km/h and 60km/h;W;2019-05-30;352252;5785458;MGA2020 zone 55;3805;56.0;2058;2538;2.3;12.49;67
